image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
579635,advlogo_eps0.9_iter30,30,0.5,0,0.9699661,41.40966123,0.994659662,0.997123003,0.099241361,0.033501685,331594,0.007590971,0.003670541,0.00369893,0.003720494
295316,advlogo_eps0.9_iter8,8,0.333333333,0,0.9944059,46.40328375,0.999250591,0.998813093,0.018860184,0.004833877,144929,0.003146184,0.00144907,0.001514394,0.0015258
183127,advlogo_eps0.9_iter5,5,0.333333333,0,0.99503165,49.4814141,0.999252319,0.999597549,0.018344453,0.01347816,83131,0.001763026,0.000853829,0.00085724,0.000864545
115898,advlogo_eps0.9_iter7,7,0.333333333,0,0.99448293,47.96672721,0.999224305,0.999254107,0.021297239,0.015312076,232670,0.003884281,0.001783656,0.001740476,0.001824163
146358,advlogo_eps0.9_iter11,11,0.083333333,0,0.98603386,45.1236715,0.998062611,0.999215961,0.059302334,0.008969188,303103,0.005898354,0.002855328,0.002860593,0.002916504
189752,advlogo_eps0.9_iter1,1,0.045454545,0,0.9991879,57.15531846,0.999899745,0.999939859,0.005695342,0.001298547,63750,0.000858936,0.00039336,0.000390996,0.000398665
290163,advlogo_eps0.9_iter2,2,0.068181818,0,0.99753004,53.46016595,0.999719143,0.999807656,0.013611503,0.000783503,119265,0.001661953,0.0007561,0.000750899,0.00076054
91406,advlogo_eps0.9_iter42,42,0.066666667,0,0.9516003,38.32651757,0.992814481,0.994983733,0.162750423,0.043044031,397122,0.014620057,0.007499563,0.007444232,0.007585826
223959,advlogo_eps0.9_iter6,6,0.333333333,0,0.9925435,48.38298691,0.999012947,0.999314427,0.046971936,0.006380558,242593,0.004031565,0.00191982,0.001901354,0.001929418
326248,advlogo_eps0.9_iter211,211,0.063636364,0,0.877177,29.71108916,0.980601966,0.98080343,0.240271926,0.059945464,408427,0.039661065,0.020357322,0.020017464,0.020933546
218439,advlogo_eps0.9_iter17,17,0.068181818,0,0.98491734,42.64838146,0.997733712,0.998975456,0.056506805,0.010016084,321288,0.007210394,0.003543243,0.003522984,0.003543107
293625,advlogo_eps0.9_iter24,24,0.090909091,0,0.97407526,42.07156128,0.996179461,0.997304857,0.112200722,0.023943901,372750,0.008902284,0.00443286,0.004385171,0.004474211
